rank,previous_position,trend,nation,nation_url,flag_url,nation_full_name,confederation,points,rank_date
115,105,down,,/madagaskar/startseite/verein/14635,https://tmssl.akamaized.net//images/flagge/tiny/101.png?lm=1520611569,Madagascar,CAF,354,2000-10-11
116,142,up,,/indien/startseite/verein/13957,https://tmssl.akamaized.net//images/flagge/tiny/67.png?lm=1520611569,India,AFC,337,2000-10-11
117,125,up,,/faroer/startseite/verein/9173,https://tmssl.akamaized.net//images/flagge/tiny/208.png?lm=1520611569,Faroe Islands,UEFA,335,2000-10-11
118,176,up,,/mauritius/startseite/verein/14239,https://tmssl.akamaized.net//images/flagge/tiny/109.png?lm=1520611569,Mauritius,CAF,328,2000-10-11
119,114,down,,/kasachstan/startseite/verein/9110,https://tmssl.akamaized.net//images/flagge/tiny/81.png?lm=1520611569,Kazakhstan,UEFA,326,2000-10-11
120,111,down,,/libyen/startseite/verein/6602,https://tmssl.akamaized.net//images/flagge/tiny/96.png?lm=1520611569,Libya,CAF,326,2000-10-11
121,161,up,,/malta/startseite/verein/3587,https://tmssl.akamaized.net//images/flagge/tiny/106.png?lm=1520611569,Malta,UEFA,316,2000-10-11
122,137,up,,/turkmenistan/startseite/verein/14248,https://tmssl.akamaized.net//images/flagge/tiny/175.png?lm=1520611569,Turkmenistan,AFC,316,2000-10-11
123,30,down,,/panama/startseite/verein/3577,https://tmssl.akamaized.net//images/flagge/tiny/130.png?lm=1520611569,Panama,CONCACAF,314,2000-10-11
124,120,down,,/sierra-leone/startseite/verein/6187,https://tmssl.akamaized.net//images/flagge/tiny/152.png?lm=1520611569,Sierra Leone,CAF,302,2000-10-11
125,171,up,,/st-vincent-und-die-grenadinen/startseite/verein/17762,https://tmssl.akamaized.net//images/flagge/tiny/224.png?lm=1520611569,Saint Vincent and the Grenadines,CONCACAF,301,2000-10-11
126,153,up,,/hongkong/startseite/verein/15977,https://tmssl.akamaized.net//images/flagge/tiny/218.png?lm=1520611569,Hong Kong,AFC,299,2000-10-11
126,153,up,,/hongkong/startseite/verein/15977,https://tmssl.akamaized.net//images/flagge/tiny/218.png?lm=1520611569,Hong Kong,AFC,299,2000-10-11
127,163,up,,/myanmar/startseite/verein/16423,https://tmssl.akamaized.net//images/flagge/tiny/116.png?lm=1520611569,Myanmar,AFC,291,2000-10-11
128,167,up,,/st-lucia/startseite/verein/17761,https://tmssl.akamaized.net//images/flagge/tiny/230.png?lm=1520611569,Saint Lucia,CONCACAF,289,2000-10-11
129,117,down,,/sudan/startseite/verein/13313,https://tmssl.akamaized.net//images/flagge/tiny/160.png?lm=1520611569,Sudan,CAF,289,2000-10-11
130,145,up,,/burundi/startseite/verein/13943,https://tmssl.akamaized.net//images/flagge/tiny/30.png?lm=1520611569,Burundi,CAF,288,2000-10-11
131,157,up,,/tahiti/startseite/verein/17763,https://tmssl.akamaized.net//images/flagge/tiny/237.png?lm=1520611569,Tahiti,OFC,287,2000-10-11
132,152,up,,/salomon-inseln/startseite/verein/15740,https://tmssl.akamaized.net//images/flagge/tiny/69.png?lm=1520611569,Solomon Islands,OFC,285,2000-10-11
133,90,down,,/bahrain/startseite/verein/7214,https://tmssl.akamaized.net//images/flagge/tiny/15.png?lm=1520611569,Bahrain,AFC,274,2000-10-11
134,159,up,,/eswatini/startseite/verein/13675,https://tmssl.akamaized.net//images/flagge/tiny/162.png?lm=1520611569,Eswatini,CAF,267,2000-10-11
135,103,down,,/luxemburg/startseite/verein/3580,https://tmssl.akamaized.net//images/flagge/tiny/99.png?lm=1520611569,Luxembourg,UEFA,259,2000-10-11
136,155,up,,/fidschi/startseite/verein/13955,https://tmssl.akamaized.net//images/flagge/tiny/48.png?lm=1520611569,Fiji,OFC,257,2000-10-11
137,144,up,,/lesotho/startseite/verein/13962,https://tmssl.akamaized.net//images/flagge/tiny/93.png?lm=1520611569,Lesotho,CAF,257,2000-10-11
138,164,up,,/grenada/startseite/verein/14175,https://tmssl.akamaized.net//images/flagge/tiny/55.png?lm=1520611569,Grenada,CONCACAF,254,2000-10-11
139,101,down,,/tadschikistan/startseite/verein/13975,https://tmssl.akamaized.net//images/flagge/tiny/165.png?lm=1520611569,Tajikistan,AFC,254,2000-10-11
140,131,down,,/ruanda/startseite/verein/3855,https://tmssl.akamaized.net//images/flagge/tiny/139.png?lm=1520611569,Rwanda,CAF,252,2000-10-11
141,112,down,,/tansania/startseite/verein/14666,https://tmssl.akamaized.net//images/flagge/tiny/166.png?lm=1520611569,Tanzania,CAF,248,2000-10-11
142,205,up,,/liechtenstein/startseite/verein/5673,https://tmssl.akamaized.net//images/flagge/tiny/97.png?lm=1520611569,Liechtenstein,UEFA,247,2000-10-11
143,147,up,,/athiopien/startseite/verein/13941,https://tmssl.akamaized.net//images/flagge/tiny/11.png?lm=1520611569,Ethiopia,CAF,246,2000-10-11
144,172,up,,/andorra/startseite/verein/10533,https://tmssl.akamaized.net//images/flagge/tiny/5.png?lm=1520611569,Andorra,UEFA,244,2000-10-11
145,92,down,,/benin/startseite/verein/3955,https://tmssl.akamaized.net//images/flagge/tiny/21.png?lm=1520611569,Benin,CAF,243,2000-10-11
146,119,down,,/nordkorea/startseite/verein/15457,https://tmssl.akamaized.net//images/flagge/tiny/86.png?lm=1520611569,North Korea,AFC,243,2000-10-11
147,154,up,,/st-kitts-und-nevis/startseite/verein/17760,https://tmssl.akamaized.net//images/flagge/tiny/225.png?lm=1520611569,Saint Kitts and Nevis,CONCACAF,243,2000-10-11
148,165,up,,/antigua-und-barbuda/startseite/verein/16028,https://tmssl.akamaized.net//images/flagge/tiny/7.png?lm=1520611569,Antigua and Barbuda,CONCACAF,238,2000-10-11
149,180,up,,/bangladesch/startseite/verein/15033,https://tmssl.akamaized.net//images/flagge/tiny/16.png?lm=1520611569,Bangladesh,AFC,237,2000-10-11
150,194,up,,/sri-lanka/startseite/verein/15358,https://tmssl.akamaized.net//images/flagge/tiny/158.png?lm=1520611569,Sri Lanka,AFC,227,2000-10-11
152,169,up,,/bermuda/startseite/verein/15735,https://tmssl.akamaized.net//images/flagge/tiny/211.png?lm=1520611569,Bermuda,CONCACAF,218,2000-10-11
153,173,up,,/malediven/startseite/verein/15456,https://tmssl.akamaized.net//images/flagge/tiny/104.png?lm=1520611569,Maldives,AFC,216,2000-10-11
154,116,down,,/gambia/startseite/verein/6186,https://tmssl.akamaized.net//images/flagge/tiny/52.png?lm=1520611569,The Gambia,CAF,215,2000-10-11
155,143,down,,/dominikanische-republik/startseite/verein/15232,https://tmssl.akamaized.net//images/flagge/tiny/43.png?lm=1520611569,Dominican Republic,CONCACAF,206,2000-10-11
156,67,down,,/kap-verde/startseite/verein/4311,https://tmssl.akamaized.net//images/flagge/tiny/32.png?lm=1520611569,Cape Verde,CAF,201,2000-10-11
157,115,down,,/mauretanien/startseite/verein/14238,https://tmssl.akamaized.net//images/flagge/tiny/108.png?lm=1520611569,Mauritania,CAF,191,2000-10-11
158,149,down,,/jemen/startseite/verein/15922,https://tmssl.akamaized.net//images/flagge/tiny/186.png?lm=1520611569,Yemen,AFC,189,2000-10-11
159,183,up,,/dominica/startseite/verein/16033,https://tmssl.akamaized.net//images/flagge/tiny/42.png?lm=1520611569,Dominica,CONCACAF,181,2000-10-11
160,174,up,,/chinesisch-taipeh-taiwan-/startseite/verein/15363,https://tmssl.akamaized.net//images/flagge/tiny/164.png?lm=1679300082,Chinese Taipei,AFC,180,2000-10-11
161,195,up,,/cayman-inseln/startseite/verein/17751,https://tmssl.akamaized.net//images/flagge/tiny/229.png?lm=1520611569,Cayman Islands,CONCACAF,176,2000-10-11
162,177,up,,/tschad/startseite/verein/13978,https://tmssl.akamaized.net//images/flagge/tiny/171.png?lm=1520611569,Chad,CAF,174,2000-10-11
163,0,down,,/eritrea/startseite/verein/13953,https://tmssl.akamaized.net//images/flagge/tiny/46.png?lm=1520611569,Eritrea,CAF,172,2000-10-11
164,123,down,,/suriname/startseite/verein/15359,https://tmssl.akamaized.net//images/flagge/tiny/161.png?lm=1520611569,Suriname,CONCACAF,171,2000-10-11
165,190,up,,/laos/startseite/verein/16431,https://tmssl.akamaized.net//images/flagge/tiny/91.png?lm=1520611569,Laos,AFC,169,2000-10-11
166,182,up,,/nepal/startseite/verein/15350,https://tmssl.akamaized.net//images/flagge/tiny/119.png?lm=1520611569,Nepal,AFC,166,2000-10-11
167,210,up,,/san-marino/startseite/verein/10521,https://tmssl.akamaized.net//images/flagge/tiny/144.png?lm=1520611569,San Marino,UEFA,161,2000-10-11
168,160,down,,/vanuatu/startseite/verein/15238,https://tmssl.akamaized.net//images/flagge/tiny/181.png?lm=1520611569,Vanuatu,OFC,156,2000-10-11
169,95,down,,/palastina/startseite/verein/17758,https://tmssl.akamaized.net//images/flagge/tiny/240.png?lm=1520611569,Palestine,AFC,152,2000-10-11
170,186,up,,/cookinseln/startseite/verein/17752,https://tmssl.akamaized.net//images/flagge/tiny/238.png?lm=1520611569,Cook Islands,OFC,151,2000-10-11
171,208,up,,/britische-jungferninseln/startseite/verein/17750,https://tmssl.akamaized.net//images/flagge/tiny/231.png?lm=1520611569,British Virgin Islands,CONCACAF,144,2000-10-11
172,187,up,,/samoa/startseite/verein/15235,https://tmssl.akamaized.net//images/flagge/tiny/143.png?lm=1520611569,Samoa,OFC,136,2000-10-11
173,104,down,,/kirgisistan/startseite/verein/3956,https://tmssl.akamaized.net//images/flagge/tiny/90.png?lm=1520611569,Kyrgyzstan,AFC,135,2000-10-11
175,133,down,,/guinea-bissau/startseite/verein/3701,https://tmssl.akamaized.net//images/flagge/tiny/60.png?lm=1520611569,Guinea-Bissau,CAF,128,2000-10-11
176,139,down,,/zentralafrikanische-republik/startseite/verein/12933,https://tmssl.akamaized.net//images/flagge/tiny/138.png?lm=1520611569,Central African Republic,CAF,126,2000-10-11
177,110,down,,/niger/startseite/verein/14163,https://tmssl.akamaized.net//images/flagge/tiny/123.png?lm=1520611569,Niger,CAF,117,2000-10-11
178,206,up,,/bahamas/startseite/verein/15918,https://tmssl.akamaized.net//images/flagge/tiny/14.png?lm=1520611569,Bahamas,CONCACAF,116,2000-10-11
179,193,up,,/macau/startseite/verein/16432,https://tmssl.akamaized.net//images/flagge/tiny/219.png?lm=1520611569,Macau,AFC,115,2000-10-11
180,189,up,,/sao-tome-und-principe/startseite/verein/15236,https://tmssl.akamaized.net//images/flagge/tiny/145.png?lm=1520611569,São Tomé and Príncipe,CAF,112,2000-10-11
181,179,down,,/kambodscha/startseite/verein/16038,https://tmssl.akamaized.net//images/flagge/tiny/79.png?lm=1520611569,Cambodia,AFC,108,2000-10-11
182,151,down,,/guyana/startseite/verein/15736,https://tmssl.akamaized.net//images/flagge/tiny/61.png?lm=1520611569,Guyana,CONCACAF,105,2000-10-11
183,136,down,,/philippinen/startseite/verein/15234,https://tmssl.akamaized.net//images/flagge/tiny/134.png?lm=1520611569,Philippines,AFC,103,2000-10-11
184,197,up,,/tonga/startseite/verein/16435,https://tmssl.akamaized.net//images/flagge/tiny/169.png?lm=1520611569,Tonga,OFC,99,2000-10-11
185,191,up,,/aruba/startseite/verein/17749,https://tmssl.akamaized.net//images/flagge/tiny/233.png?lm=1520611569,Aruba,CONCACAF,97,2000-10-11
186,181,down,,/belize/startseite/verein/15919,https://tmssl.akamaized.net//images/flagge/tiny/20.png?lm=1520611569,Belize,CONCACAF,93,2000-10-11
187,97,down,,/aquatorialguinea/startseite/verein/13485,https://tmssl.akamaized.net//images/flagge/tiny/8.png?lm=1520611569,Equatorial Guinea,CAF,90,2000-10-11
188,203,up,,/seychellen/startseite/verein/3562,https://tmssl.akamaized.net//images/flagge/tiny/151.png?lm=1520611569,Seychelles,CAF,81,2000-10-11
189,199,up,,/pakistan/startseite/verein/15352,https://tmssl.akamaized.net//images/flagge/tiny/128.png?lm=1520611569,Pakistan,AFC,75,2000-10-11
190,132,down,,/nicaragua/startseite/verein/15351,https://tmssl.akamaized.net//images/flagge/tiny/121.png?lm=1520611569,Nicaragua,CONCACAF,71,2000-10-11
191,170,down,,/papua-neuguinea/startseite/verein/15233,https://tmssl.akamaized.net//images/flagge/tiny/131.png?lm=1520611569,Papua New Guinea,OFC,68,2000-10-11
192,196,up,,/dschibuti/startseite/verein/16427,https://tmssl.akamaized.net//images/flagge/tiny/41.png?lm=1520611569,Djibouti,CAF,65,2000-10-11
193,188,down,,/brunei-darussalam/startseite/verein/14233,https://tmssl.akamaized.net//images/flagge/tiny/27.png?lm=1520611569,Brunei Darussalam,AFC,64,2000-10-11
194,156,down,,/puerto-rico/startseite/verein/17759,https://tmssl.akamaized.net//images/flagge/tiny/228.png?lm=1520611569,Puerto Rico,CONCACAF,55,2000-10-11
195,200,up,,/somalia/startseite/verein/13974,https://tmssl.akamaized.net//images/flagge/tiny/156.png?lm=1520611569,Somalia,CAF,40,2000-10-11
196,207,up,,/amerikanische-jungferninseln/startseite/verein/17747,https://tmssl.akamaized.net//images/flagge/tiny/234.png?lm=1520611569,United States Virgin Islands,CONCACAF,33,2000-10-11
197,185,down,,/mongolei/startseite/verein/15739,https://tmssl.akamaized.net//images/flagge/tiny/114.png?lm=1520611569,Mongolia,AFC,33,2000-10-11
198,209,up,,/anguilla/startseite/verein/17748,https://tmssl.akamaized.net//images/flagge/tiny/232.png?lm=1520611569,Anguilla,CONCACAF,32,2000-10-11
199,204,up,,/turks-und-caicosinseln/startseite/verein/17764,https://tmssl.akamaized.net//images/flagge/tiny/226.png?lm=1520611569,Turks and Caicos Islands,CONCACAF,22,2000-10-11
200,192,down,,/bhutan/startseite/verein/15920,https://tmssl.akamaized.net//images/flagge/tiny/22.png?lm=1520611569,Bhutan,AFC,15,2000-10-11
201,201,stable,,/guam/startseite/verein/17753,https://tmssl.akamaized.net//images/flagge/tiny/241.png?lm=1520611569,Guam,AFC,15,2000-10-11
202,175,down,,/montserrat/startseite/verein/17754,https://tmssl.akamaized.net//images/flagge/tiny/235.png?lm=1520611569,Montserrat,CONCACAF,11,2000-10-11
203,184,down,,/amerikanisch-samoa/startseite/verein/17746,https://tmssl.akamaized.net//images/flagge/tiny/239.png?lm=1520611569,American Samoa,OFC,8,2000-10-11
1,5,up,,/brasilien/startseite/verein/3439,https://tmssl.akamaized.net//images/flagge/tiny/26.png?lm=1520611569,Brazil,CONMEBOL,818,2000-11-15
2,3,up,,/frankreich/startseite/verein/3377,https://tmssl.akamaized.net//images/flagge/tiny/50.png?lm=1520611569,France,UEFA,801,2000-11-15
3,2,down,,/argentinien/startseite/verein/3437,https://tmssl.akamaized.net//images/flagge/tiny/9.png?lm=1520611569,Argentina,CONMEBOL,762,2000-11-15
4,44,up,,/tschechien/startseite/verein/3445,https://tmssl.akamaized.net//images/flagge/tiny/172.png?lm=1520611569,Czech Republic,UEFA,748,2000-11-15
5,12,up,,/italien/startseite/verein/3376,https://tmssl.akamaized.net//images/flagge/tiny/75.png?lm=1520611569,Italy,UEFA,746,2000-11-15
6,1,down,,/spanien/startseite/verein/3375,https://tmssl.akamaized.net//images/flagge/tiny/157.png?lm=1520611569,Spain,UEFA,742,2000-11-15
7,6,down,,/portugal/startseite/verein/3300,https://tmssl.akamaized.net//images/flagge/tiny/136.png?lm=1520611569,Portugal,UEFA,740,2000-11-15
8,9,up,,/deutschland/startseite/verein/3262,https://tmssl.akamaized.net//images/flagge/tiny/40.png?lm=1520612525,Germany,UEFA,715,2000-11-15
10,7,down,,/niederlande/startseite/verein/3379,https://tmssl.akamaized.net//images/flagge/tiny/122.png?lm=1520611569,Netherlands,UEFA,711,2000-11-15
11,15,up,,/mexiko/startseite/verein/6303,https://tmssl.akamaized.net//images/flagge/tiny/110.png?lm=1520611569,Mexico,CONCACAF,696,2000-11-15
12,39,up,,/paraguay/startseite/verein/3581,https://tmssl.akamaized.net//images/flagge/tiny/132.png?lm=1520611569,Paraguay,CONMEBOL,694,2000-11-15
13,47,up,,/rumanien/startseite/verein/3447,https://tmssl.akamaized.net//images/flagge/tiny/140.png?lm=1520611569,Romania,UEFA,685,2000-11-15
14,29,up,,/norwegen/startseite/verein/3440,https://tmssl.akamaized.net//images/flagge/tiny/125.png?lm=1520611569,Norway,UEFA,684,2000-11-15
15,13,down,,/kolumbien/startseite/verein/3816,https://tmssl.akamaized.net//images/flagge/tiny/83.png?lm=1520611569,Colombia,CONMEBOL,674,2000-11-15
16,4,down,,/england/startseite/verein/3299,https://tmssl.akamaized.net//images/flagge/tiny/189.png?lm=1520611569,England,UEFA,667,2000-11-15
17,10,down,,/kroatien/startseite/verein/3556,https://tmssl.akamaized.net//images/flagge/tiny/37.png?lm=1520611569,Croatia,UEFA,667,2000-11-15
18,14,down,,/vereinigte-staaten/startseite/verein/3505,https://tmssl.akamaized.net//images/flagge/tiny/184.png?lm=1520611569,United States,CONCACAF,648,2000-11-15
19,52,up,,/chile/startseite/verein/3700,https://tmssl.akamaized.net//images/flagge/tiny/33.png?lm=1520611569,Chile,CONMEBOL,642,2000-11-15
20,36,up,,/schottland/startseite/verein/3380,https://tmssl.akamaized.net//images/flagge/tiny/190.png?lm=1520611569,Scotland,UEFA,637,2000-11-15
21,33,up,,/russland/startseite/verein/3448,https://tmssl.akamaized.net//images/flagge/tiny/141.png?lm=1520611569,Russia,UEFA,636,2000-11-15
22,43,up,,/schweden/startseite/verein/3557,https://tmssl.akamaized.net//images/flagge/tiny/147.png?lm=1520611569,Sweden,UEFA,632,2000-11-15
23,61,up,,/sudafrika/startseite/verein/3806,https://tmssl.akamaized.net//images/flagge/tiny/159.png?lm=1520611569,South Africa,CAF,631,2000-11-15
24,21,down,,/danemark/startseite/verein/3436,https://tmssl.akamaized.net//images/flagge/tiny/39.png?lm=1520611569,Denmark,UEFA,626,2000-11-15
25,41,up,,/tunesien/startseite/verein/3670,https://tmssl.akamaized.net//images/flagge/tiny/173.png?lm=1520611569,Tunisia,CAF,613,2000-11-15
26,8,down,,/belgien/startseite/verein/3382,https://tmssl.akamaized.net//images/flagge/tiny/19.png?lm=1520611569,Belgium,UEFA,611,2000-11-15
26,8,down,,/belgien/startseite/verein/3382,https://tmssl.akamaized.net//images/flagge/tiny/19.png?lm=1520611569,Belgium,UEFA,611,2000-11-15
27,45,up,,/slowakei/startseite/verein/3503,https://tmssl.akamaized.net//images/flagge/tiny/154.png?lm=1520611569,Slovakia,UEFA,608,2000-11-15
28,11,down,,/marokko/startseite/verein/3575,https://tmssl.akamaized.net//images/flagge/tiny/107.png?lm=1520611569,Morocco,CAF,606,2000-11-15
29,25,down,,/turkei/startseite/verein/3381,https://tmssl.akamaized.net//images/flagge/tiny/174.png?lm=1520611569,Turkiye,UEFA,606,2000-11-15
30,98,up,,/trinidad-und-tobago/startseite/verein/7149,https://tmssl.akamaized.net//images/flagge/tiny/170.png?lm=1520611569,Trinidad and Tobago,CONCACAF,597,2000-11-15
31,28,down,,/ukraine/startseite/verein/3699,https://tmssl.akamaized.net//images/flagge/tiny/177.png?lm=1520611569,Ukraine,UEFA,596,2000-11-15
32,35,up,,/agypten/startseite/verein/3672,https://tmssl.akamaized.net//images/flagge/tiny/2.png?lm=1520611569,Egypt,CAF,589,2000-11-15
33,59,up,,/irland/startseite/verein/3509,https://tmssl.akamaized.net//images/flagge/tiny/72.png?lm=1520611569,Republic of Ireland,UEFA,588,2000-11-15
34,18,down,,/japan/startseite/verein/3435,https://tmssl.akamaized.net//images/flagge/tiny/77.png?lm=1520611569,Japan,AFC,587,2000-11-15
35,60,up,,/saudi-arabien/startseite/verein/3807,https://tmssl.akamaized.net//images/flagge/tiny/146.png?lm=1520611569,Saudi Arabia,AFC,586,2000-11-15
36,16,down,,/uruguay/startseite/verein/3449,https://tmssl.akamaized.net//images/flagge/tiny/179.png?lm=1520611569,Uruguay,CONMEBOL,585,2000-11-15
37,77,up,,/israel/startseite/verein/5547,https://tmssl.akamaized.net//images/flagge/tiny/74.png?lm=1520611569,Israel,UEFA,585,2000-11-15
38,55,up,,/slowenien/startseite/verein/3588,https://tmssl.akamaized.net//images/flagge/tiny/155.png?lm=1520611569,Slovenia,UEFA,584,2000-11-15
39,22,down,,/sudkorea/startseite/verein/3589,https://tmssl.akamaized.net//images/flagge/tiny/87.png?lm=1520611569,South Korea,AFC,581,2000-11-15
40,20,down,,/iran/startseite/verein/3582,https://tmssl.akamaized.net//images/flagge/tiny/71.png?lm=1520611569,Iran,AFC,580,2000-11-15
41,57,up,,/kamerun/startseite/verein/3434,https://tmssl.akamaized.net//images/flagge/tiny/31.png?lm=1520611569,Cameroon,CAF,580,2000-11-15
42,46,up,,/griechenland/startseite/verein/3378,https://tmssl.akamaized.net//images/flagge/tiny/56.png?lm=1520611569,Greece,UEFA,578,2000-11-15
43,24,down,,/osterreich/startseite/verein/3383,https://tmssl.akamaized.net//images/flagge/tiny/127.png?lm=1520611569,Austria,UEFA,578,2000-11-15
44,31,down,,/polen/startseite/verein/3442,https://tmssl.akamaized.net//images/flagge/tiny/135.png?lm=1520611569,Poland,UEFA,575,2000-11-15
45,51,up,,/peru/startseite/verein/3584,https://tmssl.akamaized.net//images/flagge/tiny/133.png?lm=1520611569,Peru,CONMEBOL,563,2000-11-15
46,70,up,,/jamaika/startseite/verein/3671,https://tmssl.akamaized.net//images/flagge/tiny/76.png?lm=1520611569,Jamaica,CONCACAF,560,2000-11-15
47,91,up,,/sambia/startseite/verein/3703,https://tmssl.akamaized.net//images/flagge/tiny/142.png?lm=1520611569,Zambia,CAF,558,2000-11-15
48,40,down,,/ungarn/startseite/verein/3468,https://tmssl.akamaized.net//images/flagge/tiny/178.png?lm=1521635893,Hungary,UEFA,555,2000-11-15
49,74,up,,/island/startseite/verein/3574,https://tmssl.akamaized.net//images/flagge/tiny/73.png?lm=1520611569,Iceland,UEFA,551,2000-11-15
50,65,up,,/honduras/startseite/verein/3590,https://tmssl.akamaized.net//images/flagge/tiny/66.png?lm=1699286249,Honduras,CONCACAF,546,2000-11-15
52,42,down,,/elfenbeinkuste/startseite/verein/3591,https://tmssl.akamaized.net//images/flagge/tiny/38.png?lm=1520611569,Ivory Coast,CAF,542,2000-11-15
53,89,up,,/angola/startseite/verein/3585,https://tmssl.akamaized.net//images/flagge/tiny/6.png?lm=1520611569,Angola,CAF,539,2000-11-15
54,88,up,,/bulgarien/startseite/verein/3394,https://tmssl.akamaized.net//images/flagge/tiny/28.png?lm=1520611569,Bulgaria,UEFA,535,2000-11-15
55,75,up,,/finnland/startseite/verein/3443,https://tmssl.akamaized.net//images/flagge/tiny/49.png?lm=1520611569,Finland,UEFA,533,2000-11-15
56,49,down,,/costa-rica/startseite/verein/8497,https://tmssl.akamaized.net//images/flagge/tiny/36.png?lm=1520611569,Costa Rica,CONCACAF,531,2000-11-15
57,72,up,,/ghana/startseite/verein/3441,https://tmssl.akamaized.net//images/flagge/tiny/54.png?lm=1520611569,Ghana,CAF,531,2000-11-15
58,23,down,,/ecuador/startseite/verein/5750,https://tmssl.akamaized.net//images/flagge/tiny/44.png?lm=1520611569,Ecuador,CONMEBOL,527,2000-11-15
59,17,down,,/schweiz/startseite/verein/3384,https://tmssl.akamaized.net//images/flagge/tiny/148.png?lm=1520611569,Switzerland,UEFA,526,2000-11-15
60,68,up,,/vereinigte-arabische-emirate/startseite/verein/5147,https://tmssl.akamaized.net//images/flagge/tiny/183.png?lm=1520611569,United Arab Emirates,AFC,525,2000-11-15
61,94,up,,/guatemala/startseite/verein/13342,https://tmssl.akamaized.net//images/flagge/tiny/58.png?lm=1520611569,Guatemala,CONCACAF,521,2000-11-15
62,96,up,,/thailand/startseite/verein/5676,https://tmssl.akamaized.net//images/flagge/tiny/167.png?lm=1520611569,Thailand,AFC,518,2000-11-15
63,27,down,,/kanada/startseite/verein/3510,https://tmssl.akamaized.net//images/flagge/tiny/80.png?lm=1520611569,Canada,CONCACAF,516,2000-11-15
64,73,up,,/georgien/startseite/verein/3669,https://tmssl.akamaized.net//images/flagge/tiny/53.png?lm=1520611569,Georgia,UEFA,510,2000-11-15
65,50,down,,/usbekistan/startseite/verein/3563,https://tmssl.akamaized.net//images/flagge/tiny/180.png?lm=1520611569,Uzbekistan,AFC,509,2000-11-15
66,76,up,,/bolivien/startseite/verein/5233,https://tmssl.akamaized.net//images/flagge/tiny/23.png?lm=1520611569,Bolivia,CONMEBOL,504,2000-11-15
67,128,up,,/zypern/startseite/verein/3668,https://tmssl.akamaized.net//images/flagge/tiny/188.png?lm=1520611569,Cyprus,UEFA,500,2000-11-15
68,129,up,,/simbabwe/startseite/verein/3583,https://tmssl.akamaized.net//images/flagge/tiny/187.png?lm=1520611569,Zimbabwe,CAF,493,2000-11-15
69,56,down,,/demokratische-republik-kongo/startseite/verein/3854,https://tmssl.akamaized.net//images/flagge/tiny/193.png?lm=1520611569,Democratic Republic of the Congo,CAF,489,2000-11-15
70,135,up,,/kuwait/startseite/verein/3432,https://tmssl.akamaized.net//images/flagge/tiny/89.png?lm=1520611569,Kuwait,AFC,486,2000-11-15
71,93,up,,/china/startseite/verein/5598,https://tmssl.akamaized.net//images/flagge/tiny/34.png?lm=1520611569,China,AFC,485,2000-11-15
72,130,up,,/estland/startseite/verein/6133,https://tmssl.akamaized.net//images/flagge/tiny/47.png?lm=1520611569,Estonia,UEFA,484,2000-11-15
73,62,down,,/burkina-faso/startseite/verein/5872,https://tmssl.akamaized.net//images/flagge/tiny/29.png?lm=1520611569,Burkina Faso,CAF,481,2000-11-15
74,26,down,,/australien/startseite/verein/3433,https://tmssl.akamaized.net//images/flagge/tiny/12.png?lm=1520611569,Australia,AFC,479,2000-11-15
75,66,down,,/nordmazedonien/startseite/verein/5148,https://tmssl.akamaized.net//images/flagge/tiny/100.png?lm=1520611569,North Macedonia,UEFA,479,2000-11-15
76,166,up,,/kuba/startseite/verein/3808,https://tmssl.akamaized.net//images/flagge/tiny/88.png?lm=1520611569,Cuba,CONCACAF,472,2000-11-15
77,71,down,,/bosnien-herzegowina/startseite/verein/3446,https://tmssl.akamaized.net//images/flagge/tiny/24.png?lm=1569523290,Bosnia-Herzegovina,UEFA,472,2000-11-15
78,81,up,,/guinea/startseite/verein/3856,https://tmssl.akamaized.net//images/flagge/tiny/59.png?lm=1520611569,Guinea,CAF,471,2000-11-15
79,146,up,,/litauen/startseite/verein/3851,https://tmssl.akamaized.net//images/flagge/tiny/98.png?lm=1520611569,Lithuania,UEFA,470,2000-11-15
80,58,down,,/irak/startseite/verein/3560,https://tmssl.akamaized.net//images/flagge/tiny/70.png?lm=1520611569,Iraq,AFC,469,2000-11-15
81,63,down,,/albanien/startseite/verein/3561,https://tmssl.akamaized.net//images/flagge/tiny/3.png?lm=1520611569,Albania,UEFA,468,2000-11-15
82,34,down,,/algerien/startseite/verein/3614,https://tmssl.akamaized.net//images/flagge/tiny/4.png?lm=1520611569,Algeria,CAF,463,2000-11-15
83,124,up,,/togo/startseite/verein/3815,https://tmssl.akamaized.net//images/flagge/tiny/168.png?lm=1520611569,Togo,CAF,462,2000-11-15
84,84,stable,,/haiti/startseite/verein/14161,https://tmssl.akamaized.net//images/flagge/tiny/62.png?lm=1520611569,Haiti,CONCACAF,456,2000-11-15
85,134,up,,/republik-kongo/startseite/verein/3702,https://tmssl.akamaized.net//images/flagge/tiny/85.png?lm=1520611569,Republic of the Congo,CAF,453,2000-11-15
86,118,up,,/namibia/startseite/verein/3573,https://tmssl.akamaized.net//images/flagge/tiny/117.png?lm=1520611569,Namibia,CAF,452,2000-11-15
87,19,down,,/senegal/startseite/verein/3499,https://tmssl.akamaized.net//images/flagge/tiny/149.png?lm=1520611569,Senegal,CAF,451,2000-11-15
88,78,down,,/gabun/startseite/verein/5704,https://tmssl.akamaized.net//images/flagge/tiny/51.png?lm=1520611569,Gabon,CAF,449,2000-11-15
